case,ebno_db,rep,eval_seed,transport_blocks,trained_block_errors,ls_block_errors,trained_only_errors,ls_only_errors,both_errors,both_correct,trained_minus_ls_batch_tbler
confirmation_umi_12prb_cell211,14.0,16,2036111517,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,17,2036111518,256,2,1,1,0,1,254,0.00390625
confirmation_umi_12prb_cell211,14.0,18,2036111519,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,14.0,19,2036111520,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,20,2036111521,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,14.0,21,2036111522,256,2,3,0,1,2,253,-0.00390625
confirmation_umi_12prb_cell211,14.0,22,2036111523,256,2,3,0,1,2,253,-0.00390625
confirmation_umi_12prb_cell211,14.0,23,2036111524,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,14.0,24,2036111525,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,25,2036111526,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,26,2036111527,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,27,2036111528,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell211,14.0,28,2036111529,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,29,2036111530,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,30,2036111531,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,31,2036111532,256,3,4,0,1,3,252,-0.00390625
confirmation_umi_12prb_cell211,14.0,32,2036111533,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,14.0,33,2036111534,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,34,2036111535,256,3,4,0,1,3,252,-0.00390625
confirmation_umi_12prb_cell211,14.0,35,2036111536,256,4,4,1,1,3,251,0.0
confirmation_umi_12prb_cell211,14.0,36,2036111537,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,37,2036111538,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,38,2036111539,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,14.0,39,2036111540,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,14.0,40,2036111541,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,14.0,41,2036111542,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,14.0,42,2036111543,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,43,2036111544,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,44,2036111545,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,14.0,45,2036111546,256,2,3,0,1,2,253,-0.00390625
confirmation_umi_12prb_cell211,14.0,46,2036111547,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,14.0,47,2036111548,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,14.0,48,2036111549,256,5,4,1,0,4,251,0.00390625
confirmation_umi_12prb_cell211,14.0,49,2036111550,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,14.0,50,2036111551,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,51,2036111552,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,52,2036111553,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,53,2036111554,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,54,2036111555,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,14.0,55,2036111556,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,56,2036111557,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,14.0,57,2036111558,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,58,2036111559,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,59,2036111560,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,60,2036111561,256,4,4,0,0,4,252,0.0
confirmation_umi_12prb_cell211,14.0,61,2036111562,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,62,2036111563,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,14.0,63,2036111564,256,2,2,1,1,1,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,0,2037091501,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,1,2037091502,256,2,3,0,1,2,253,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,2,2037091503,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,3,2037091504,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,4,2037091505,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,5,2037091506,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,6,2037091507,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,7,2037091508,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,8,2037091509,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,9,2037091510,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,10,2037091511,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,11,2037091512,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,12,2037091513,256,5,6,0,1,5,250,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,13,2037091514,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,14,2037091515,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,15,2037091516,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,16,2037091517,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,17,2037091518,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,18,2037091519,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,19,2037091520,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,20,2037091521,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,21,2037091522,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,22,2037091523,256,2,3,0,1,2,253,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,23,2037091524,256,2,4,0,2,2,252,-0.0078125
confirmation_umi_12prb_cell212_permuted_ports,6.0,24,2037091525,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,25,2037091526,256,3,4,0,1,3,252,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,26,2037091527,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,27,2037091528,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,28,2037091529,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,29,2037091530,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,30,2037091531,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,31,2037091532,256,5,4,1,0,4,251,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,32,2037091533,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,33,2037091534,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,34,2037091535,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,35,2037091536,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,36,2037091537,256,2,3,0,1,2,253,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,37,2037091538,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell212_permuted_ports,6.0,38,2037091539,256,2,1,1,0,1,254,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,6.0,39,2037091540,256,1,0,1,0,0,255,0.00390625
